timestamp,hour,day_of_week,ambient_light,pir_motion,phone_presence,temperature,occupied
2024-01-01 00:00:00,0,0,19,0,0,19.7,0
2024-01-01 00:15:00,0,0,28,0,0,20.2,0
2024-01-01 00:30:00,0,0,10,1,0,20.1,0
2024-01-01 00:45:00,0,0,377,1,1,21.5,1
2024-01-01 01:00:00,1,0,23,0,0,20.0,0
2024-01-01 01:15:00,1,0,13,0,0,20.5,0
2024-01-01 01:30:00,1,0,25,0,0,20.2,0
2024-01-01 01:45:00,1,0,7,0,0,20.2,0
2024-01-01 02:00:00,2,0,14,0,0,20.3,0
2024-01-01 02:15:00,2,0,8,0,0,19.6,0
2024-01-01 02:30:00,2,0,524,1,1,22.1,1
2024-01-01 02:45:00,2,0,13,0,0,19.5,0
2024-01-01 03:00:00,3,0,12,1,0,20.2,0
2024-01-01 03:15:00,3,0,9,0,0,20.4,0
2024-01-01 03:30:00,3,0,5,0,0,19.8,0
2024-01-01 03:45:00,3,0,7,0,0,20.2,0
2024-01-01 04:00:00,4,0,18,1,0,19.9,0
2024-01-01 04:15:00,4,0,11,0,0,20.2,0
2024-01-01 04:30:00,4,0,19,0,0,19.6,0
2024-01-01 04:45:00,4,0,6,0,0,19.6,0
2024-01-01 05:00:00,5,0,24,0,0,20.3,0
2024-01-01 05:15:00,5,0,5,0,0,19.5,0
2024-01-01 05:30:00,5,0,10,0,0,19.7,0
2024-01-01 05:45:00,5,0,19,0,0,20.1,0
2024-01-01 06:00:00,6,0,686,1,1,22.7,1
2024-01-01 06:15:00,6,0,151,0,0,20.8,0
2024-01-01 06:30:00,6,0,279,0,0,21.1,0
2024-01-01 06:45:00,6,0,755,1,1,23.2,1
2024-01-01 07:00:00,7,0,293,1,0,20.7,0
2024-01-01 07:15:00,7,0,336,0,0,21.3,0
2024-01-01 07:30:00,7,0,737,1,1,23.2,1
2024-01-01 07:45:00,7,0,191,0,0,21.3,0
2024-01-01 08:00:00,8,0,704,1,0,22.8,1
2024-01-01 08:15:00,8,0,731,1,0,23.7,1
2024-01-01 08:30:00,8,0,659,0,1,22.4,1
2024-01-01 08:45:00,8,0,310,1,0,20.7,0
2024-01-01 09:00:00,9,0,771,1,1,22.3,1
2024-01-01 09:15:00,9,0,258,0,0,20.9,0
2024-01-01 09:30:00,9,0,706,1,1,22.6,1
2024-01-01 09:45:00,9,0,553,1,0,22.5,1
2024-01-01 10:00:00,10,0,265,0,0,21.4,0
2024-01-01 10:15:00,10,0,696,1,0,21.8,1
2024-01-01 10:30:00,10,0,730,1,1,22.9,1
2024-01-01 10:45:00,10,0,865,0,1,22.5,1
2024-01-01 11:00:00,11,0,169,0,0,21.3,0
2024-01-01 11:15:00,11,0,828,1,1,22.7,1
2024-01-01 11:30:00,11,0,714,1,1,22.6,1
2024-01-01 11:45:00,11,0,561,1,1,22.2,1
2024-01-01 12:00:00,12,0,861,0,1,24.0,1
2024-01-01 12:15:00,12,0,239,1,0,23.3,0
2024-01-01 12:30:00,12,0,628,1,1,25.0,1
2024-01-01 12:45:00,12,0,653,1,1,24.8,1
2024-01-01 13:00:00,13,0,719,1,1,24.0,1
2024-01-01 13:15:00,13,0,810,1,1,24.5,1
2024-01-01 13:30:00,13,0,617,1,1,24.9,1
2024-01-01 13:45:00,13,0,153,0,0,23.4,0
2024-01-01 14:00:00,14,0,684,1,1,24.5,1
2024-01-01 14:15:00,14,0,681,1,1,23.7,1
2024-01-01 14:30:00,14,0,698,1,1,24.8,1
2024-01-01 14:45:00,14,0,758,1,0,25.4,1
2024-01-01 15:00:00,15,0,792,1,1,23.9,1
2024-01-01 15:15:00,15,0,186,0,0,23.2,0
2024-01-01 15:30:00,15,0,623,1,1,24.0,1
2024-01-01 15:45:00,15,0,296,0,0,23.5,0
2024-01-01 16:00:00,16,0,260,0,0,23.1,0
2024-01-01 16:15:00,16,0,652,1,1,25.9,1
2024-01-01 16:30:00,16,0,826,1,1,25.6,1
2024-01-01 16:45:00,16,0,156,0,0,22.9,0
2024-01-01 17:00:00,17,0,642,1,1,25.7,1
2024-01-01 17:15:00,17,0,194,0,0,22.6,0
2024-01-01 17:30:00,17,0,240,0,0,22.9,0
2024-01-01 17:45:00,17,0,275,0,0,22.6,0
2024-01-01 18:00:00,18,0,506,1,1,23.2,1
2024-01-01 18:15:00,18,0,17,0,0,22.4,0
2024-01-01 18:30:00,18,0,9,0,0,21.6,0
2024-01-01 18:45:00,18,0,319,1,1,23.9,1
2024-01-01 19:00:00,19,0,12,0,0,21.8,0
2024-01-01 19:15:00,19,0,497,1,1,23.3,1
2024-01-01 19:30:00,19,0,524,1,1,22.8,1
2024-01-01 19:45:00,19,0,318,0,0,22.6,1
2024-01-01 20:00:00,20,0,19,0,0,21.9,0
2024-01-01 20:15:00,20,0,17,1,0,21.6,0
2024-01-01 20:30:00,20,0,517,0,0,24.1,1
2024-01-01 20:45:00,20,0,21,0,0,21.8,0
2024-01-01 21:00:00,21,0,592,1,1,23.0,1
2024-01-01 21:15:00,21,0,22,0,0,22.1,0
2024-01-01 21:30:00,21,0,574,1,1,24.1,1
2024-01-01 21:45:00,21,0,599,1,1,23.4,1
2024-01-01 22:00:00,22,0,334,1,0,24.1,1
2024-01-01 22:15:00,22,0,392,0,1,23.6,1
2024-01-01 22:30:00,22,0,479,1,1,23.3,1
2024-01-01 22:45:00,22,0,501,1,0,23.6,1
2024-01-01 23:00:00,23,0,14,0,0,21.6,0
2024-01-01 23:15:00,23,0,383,1,1,23.1,1
2024-01-01 23:30:00,23,0,15,0,0,21.8,0
2024-01-01 23:45:00,23,0,24,0,0,22.0,0
2024-01-02 00:00:00,0,1,28,0,0,19.6,0
2024-01-02 00:15:00,0,1,27,0,0,19.6,0
2024-01-02 00:30:00,0,1,19,0,0,19.7,0
2024-01-02 00:45:00,0,1,26,0,0,20.4,0
2024-01-02 01:00:00,1,1,7,0,0,20.1,0
2024-01-02 01:15:00,1,1,12,0,0,19.8,0
2024-01-02 01:30:00,1,1,6,0,0,19.8,0
2024-01-02 01:45:00,1,1,522,1,1,21.9,1
2024-01-02 02:00:00,2,1,13,0,0,19.9,0
2024-01-02 02:15:00,2,1,6,0,0,19.5,0
2024-01-02 02:30:00,2,1,10,0,0,20.1,0
2024-01-02 02:45:00,2,1,16,0,0,20.2,0
2024-01-02 03:00:00,3,1,16,0,0,19.8,0
2024-01-02 03:15:00,3,1,8,0,0,19.9,0
2024-01-02 03:30:00,3,1,14,0,0,20.3,0
2024-01-02 03:45:00,3,1,21,0,0,20.1,0
2024-01-02 04:00:00,4,1,9,0,0,19.6,0
2024-01-02 04:15:00,4,1,16,1,0,20.2,0
2024-01-02 04:30:00,4,1,15,0,0,19.7,0
2024-01-02 04:45:00,4,1,18,0,0,20.4,0
2024-01-02 05:00:00,5,1,11,0,0,20.1,0
2024-01-02 05:15:00,5,1,5,0,0,19.9,0
2024-01-02 05:30:00,5,1,23,0,0,19.8,0
2024-01-02 05:45:00,5,1,24,0,0,20.0,0
2024-01-02 06:00:00,6,1,187,0,0,21.3,0
2024-01-02 06:15:00,6,1,215,0,0,20.8,0
2024-01-02 06:30:00,6,1,773,1,1,22.8,1
2024-01-02 06:45:00,6,1,304,0,0,21.0,0
2024-01-02 07:00:00,7,1,160,0,0,20.7,0
2024-01-02 07:15:00,7,1,256,0,0,21.0,0
2024-01-02 07:30:00,7,1,679,0,1,23.5,1
2024-01-02 07:45:00,7,1,241,0,0,20.6,0
2024-01-02 08:00:00,8,1,160,0,0,21.5,0
2024-01-02 08:15:00,8,1,506,1,1,22.8,1
2024-01-02 08:30:00,8,1,745,1,1,23.0,1
2024-01-02 08:45:00,8,1,627,1,1,23.1,1
2024-01-02 09:00:00,9,1,697,1,1,22.5,1
2024-01-02 09:15:00,9,1,709,1,0,22.5,1
2024-01-02 09:30:00,9,1,838,1,1,22.8,1
2024-01-02 09:45:00,9,1,527,1,1,22.8,1
2024-01-02 10:00:00,10,1,281,0,0,21.4,0
2024-01-02 10:15:00,10,1,720,1,1,22.5,1
2024-01-02 10:30:00,10,1,770,1,1,22.9,1
2024-01-02 10:45:00,10,1,901,1,1,23.6,1
2024-01-02 11:00:00,11,1,291,0,0,20.5,0
2024-01-02 11:15:00,11,1,707,1,1,23.0,1
2024-01-02 11:30:00,11,1,773,1,1,22.8,1
2024-01-02 11:45:00,11,1,900,1,1,23.4,1
2024-01-02 12:00:00,12,1,471,1,1,24.0,1
2024-01-02 12:15:00,12,1,335,0,0,23.2,0
2024-01-02 12:30:00,12,1,191,0,0,23.1,0
2024-01-02 12:45:00,12,1,236,0,0,22.8,0
2024-01-02 13:00:00,13,1,247,0,0,22.7,0
2024-01-02 13:15:00,13,1,760,1,1,25.1,1
2024-01-02 13:30:00,13,1,178,0,0,22.9,0
2024-01-02 13:45:00,13,1,600,1,0,24.2,1
2024-01-02 14:00:00,14,1,730,1,1,24.3,1
2024-01-02 14:15:00,14,1,515,1,1,25.4,1
2024-01-02 14:30:00,14,1,568,1,0,24.7,1
2024-01-02 14:45:00,14,1,590,1,1,25.4,1
2024-01-02 15:00:00,15,1,174,0,0,23.2,0
2024-01-02 15:15:00,15,1,746,1,0,24.8,1
2024-01-02 15:30:00,15,1,592,1,1,24.9,1
2024-01-02 15:45:00,15,1,697,1,1,24.0,1
2024-01-02 16:00:00,16,1,317,0,0,23.1,0
2024-01-02 16:15:00,16,1,302,0,0,22.9,0
2024-01-02 16:30:00,16,1,319,0,1,22.7,0
2024-01-02 16:45:00,16,1,272,0,0,23.3,0
2024-01-02 17:00:00,17,1,334,0,0,22.9,0
2024-01-02 17:15:00,17,1,597,1,1,24.3,1
2024-01-02 17:30:00,17,1,794,0,1,24.1,1
2024-01-02 17:45:00,17,1,186,0,0,22.9,0
2024-01-02 18:00:00,18,1,15,0,0,22.2,0
2024-01-02 18:15:00,18,1,568,1,1,23.0,1
2024-01-02 18:30:00,18,1,314,1,0,24.8,1
2024-01-02 18:45:00,18,1,491,1,0,24.3,1
2024-01-02 19:00:00,19,1,396,1,1,24.1,1
2024-01-02 19:15:00,19,1,29,0,0,21.8,0
2024-01-02 19:30:00,19,1,429,1,1,24.1,1
2024-01-02 19:45:00,19,1,600,1,0,23.7,1
2024-01-02 20:00:00,20,1,28,0,0,22.4,0
2024-01-02 20:15:00,20,1,487,1,1,23.1,1
2024-01-02 20:30:00,20,1,8,0,0,21.7,0
2024-01-02 20:45:00,20,1,23,0,1,22.3,0
2024-01-02 21:00:00,21,1,22,1,0,22.0,0
2024-01-02 21:15:00,21,1,472,0,1,23.5,1
2024-01-02 21:30:00,21,1,383,1,1,23.3,1
2024-01-02 21:45:00,21,1,565,0,1,24.4,1
2024-01-02 22:00:00,22,1,537,1,0,24.7,1
2024-01-02 22:15:00,22,1,339,1,1,24.0,1
2024-01-02 22:30:00,22,1,543,0,1,23.3,1
2024-01-02 22:45:00,22,1,611,1,1,23.8,1
2024-01-02 23:00:00,23,1,408,1,1,24.4,1
2024-01-02 23:15:00,23,1,587,1,1,23.8,1
2024-01-02 23:30:00,23,1,332,1,1,24.3,1
2024-01-02 23:45:00,23,1,352,1,1,24.0,1
2024-01-03 00:00:00,0,2,20,0,0,20.1,0
2024-01-03 00:15:00,0,2,15,0,0,20.0,0
2024-01-03 00:30:00,0,2,19,0,0,20.2,0
2024-01-03 00:45:00,0,2,12,0,0,19.6,0
2024-01-03 01:00:00,1,2,19,0,0,20.2,0
2024-01-03 01:15:00,1,2,306,1,0,21.4,1
2024-01-03 01:30:00,1,2,10,0,0,20.3,0
2024-01-03 01:45:00,1,2,21,0,0,20.4,0
2024-01-03 02:00:00,2,2,13,0,0,20.2,0
2024-01-03 02:15:00,2,2,11,0,0,20.1,0
2024-01-03 02:30:00,2,2,13,0,0,20.2,0
2024-01-03 02:45:00,2,2,29,0,0,20.5,0
2024-01-03 03:00:00,3,2,27,1,0,19.7,0
2024-01-03 03:15:00,3,2,9,0,0,20.2,0
2024-01-03 03:30:00,3,2,26,1,0,20.0,0
2024-01-03 03:45:00,3,2,28,0,0,19.9,0
2024-01-03 04:00:00,4,2,416,1,1,21.7,1
2024-01-03 04:15:00,4,2,11,0,0,20.4,0
2024-01-03 04:30:00,4,2,12,0,0,20.3,0
2024-01-03 04:45:00,4,2,14,0,0,19.7,0
2024-01-03 05:00:00,5,2,26,0,0,20.0,0
2024-01-03 05:15:00,5,2,10,0,0,19.9,0
2024-01-03 05:30:00,5,2,468,0,1,20.9,1
2024-01-03 05:45:00,5,2,14,0,0,19.9,0
2024-01-03 06:00:00,6,2,206,0,0,20.5,0
2024-01-03 06:15:00,6,2,314,0,0,20.9,0
2024-01-03 06:30:00,6,2,338,1,0,20.6,0
2024-01-03 06:45:00,6,2,568,1,1,21.7,1
2024-01-03 07:00:00,7,2,169,0,0,20.5,0
2024-01-03 07:15:00,7,2,334,0,0,21.0,0
2024-01-03 07:30:00,7,2,300,1,0,21.2,0
2024-01-03 07:45:00,7,2,234,0,0,20.9,0
2024-01-03 08:00:00,8,2,675,1,0,23.0,1
2024-01-03 08:15:00,8,2,262,1,0,21.2,0
2024-01-03 08:30:00,8,2,643,1,1,22.2,1
2024-01-03 08:45:00,8,2,778,0,1,21.9,1
2024-01-03 09:00:00,9,2,682,1,1,23.4,1
2024-01-03 09:15:00,9,2,237,0,0,20.8,0
2024-01-03 09:30:00,9,2,684,1,1,22.3,1
2024-01-03 09:45:00,9,2,823,0,0,22.8,1
2024-01-03 10:00:00,10,2,593,1,1,22.9,1
2024-01-03 10:15:00,10,2,257,1,1,20.7,0
2024-01-03 10:30:00,10,2,273,0,0,20.9,0
2024-01-03 10:45:00,10,2,757,1,1,23.0,1
2024-01-03 11:00:00,11,2,728,1,1,23.1,1
2024-01-03 11:15:00,11,2,563,1,1,22.7,1
2024-01-03 11:30:00,11,2,568,1,1,22.4,1
2024-01-03 11:45:00,11,2,268,0,0,21.1,0
2024-01-03 12:00:00,12,2,271,0,0,23.3,0
2024-01-03 12:15:00,12,2,566,1,0,25.3,1
2024-01-03 12:30:00,12,2,873,1,1,25.3,1
2024-01-03 12:45:00,12,2,628,1,1,24.7,1
2024-01-03 13:00:00,13,2,859,1,1,25.0,1
2024-01-03 13:15:00,13,2,173,0,0,23.2,0
2024-01-03 13:30:00,13,2,716,1,1,24.5,1
2024-01-03 13:45:00,13,2,162,0,0,23.3,0
2024-01-03 14:00:00,14,2,698,1,1,24.4,1
